RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
84,15565785,Smith,685,France,Male,30,2,104954.48796319045,1,1,0,103680.86764605483,0
85,15565786,Smith,715,Spain,Female,33,3,83783.68562458896,1,0,1,129575.5745075014,0
86,15565787,Smith,605,France,Female,50,5,26575.81765190522,1,0,1,87819.34187227234,0
87,15565788,Smith,590,France,Male,43,4,5911.540571614809,1,1,0,65063.61496425427,0
88,15565789,Smith,696,France,Female,33,5,113502.5054458793,4,0,0,198799.38504525303,0
89,15565790,Smith,537,France,Female,46,1,150307.36203874735,2,0,0,153068.24029134965,0
90,15565791,Smith,596,France,Female,41,4,53057.50047609143,3,1,1,114846.40165977052,0
91,15565792,Smith,637,Spain,Male,51,3,18046.92461918245,2,1,1,85294.01462243179,0
92,15565793,Smith,723,France,Female,31,0,0.0,2,1,0,173768.41984818556,0
93,15565794,Smith,607,France,Female,36,3,25961.757816873112,1,1,1,200000.0,0
94,15565795,Smith,706,Germany,Male,35,10,69317.157875048,2,1,1,64291.18594068888,0
95,15565796,Smith,766,Spain,Male,22,1,154956.1620418367,1,1,1,103337.13090120217,0
96,15565797,Smith,599,Germany,Female,43,6,108656.68461164842,2,0,0,87452.2916881116,0
97,15565798,Smith,850,Germany,Male,43,6,90254.27023533765,1,0,1,107543.238417293,0
98,15565799,Smith,791,France,Male,40,4,54994.01693494345,1,1,1,200000.0,0
99,15565800,Smith,677,Germany,Male,37,0,45841.71413720219,1,1,0,51054.561878721244,0
100,15565801,Smith,631,France,Male,23,0,145282.37987539818,2,1,0,95431.1940325683,0
101,15565802,Smith,594,Germany,Female,34,10,85036.92703791948,1,1,1,26118.572686759086,0
102,15565803,Smith,816,Spain,Male,35,6,0.0,1,1,0,150189.57835375567,0
103,15565804,Smith,671,Spain,Male,30,9,41323.01760513786,3,1,1,48867.24987802811,0
104,15565805,Smith,506,Spain,Male,38,0,32089.198411418663,2,1,0,55267.20035979072,0
105,15565806,Smith,478,Germany,Male,44,1,47686.799541126755,1,1,0,103693.23737328053,1
106,15565807,Smith,661,Spain,Female,62,3,103145.53301425427,1,0,0,48806.86861275739,1
107,15565808,Smith,663,France,Female,42,4,69627.75591028752,1,1,0,114056.34723138982,0
108,15565809,Smith,558,France,Male,43,10,71156.7296498169,2,1,0,168505.39741061698,0
109,15565810,Smith,498,Germany,Female,39,0,140673.65806626185,2,0,1,173029.2810296082,0
110,15565811,Smith,453,France,Male,18,0,40176.94551066558,1,1,0,139680.68059037798,0
111,15565812,Smith,574,Spain,Female,39,2,168209.9762943675,3,1,1,111554.00355623255,0
112,15565813,Smith,613,Spain,Male,40,0,41434.6204314457,1,0,1,128430.02807614543,0
113,15565814,Smith,719,France,Female,69,2,79459.90983062857,1,1,0,10000.0,1
114,15565815,Smith,636,Spain,Female,37,4,60939.82022986165,4,1,0,19959.55982795912,1
115,15565816,Smith,756,Germany,Male,43,2,81170.95667504806,1,0,1,121252.04804985148,0
116,15565817,Smith,710,Germany,Male,39,9,97229.59975365645,3,1,0,30874.173266930302,1
117,15565818,Smith,701,France,Male,25,7,96691.76200444382,2,1,0,36171.556654487234,0
118,15565819,Smith,747,Germany,Female,53,4,37344.133468971006,1,1,1,81038.6740778093,0
119,15565820,Smith,511,Germany,Male,49,10,18854.266127621464,1,0,0,152469.8243199101,1
120,15565821,Smith,596,Germany,Female,49,4,200158.58954528553,2,1,0,26931.492217845196,1
121,15565822,Smith,850,Germany,Female,29,5,50800.78301997235,3,1,1,171331.61986634767,0
122,15565823,Smith,459,Spain,Male,56,3,109960.62193359932,1,0,1,53304.32393632313,0
123,15565824,Smith,620,France,Male,23,4,0.0,1,1,0,51935.9560345732,0
124,15565825,Smith,697,Spain,Male,47,5,61019.36400476616,1,1,1,145584.42429376917,0
125,15565826,Smith,462,Spain,Female,66,5,68640.03080087785,2,0,1,68298.21894182748,1
126,15565827,Smith,574,Germany,Male,28,4,98640.75349639163,1,1,1,143591.75922228373,0
127,15565828,Smith,849,Spain,Female,33,9,0.0,1,0,0,29118.809685399334,0
128,15565829,Smith,667,Germany,Male,41,5,83307.03065391653,4,1,1,113128.80565977584,0
129,15565830,Smith,592,Spain,Female,33,8,17512.927231605354,1,1,0,16068.544466471605,0
130,15565831,Smith,671,France,Male,21,7,91217.28555974619,1,0,1,23829.366853495827,0
131,15565832,Smith,592,France,Male,40,3,23183.540158091855,2,0,0,120008.0034443392,0
132,15565833,Smith,821,Germany,Male,27,1,32225.865203720932,2,0,1,151327.18518280343,0
133,15565834,Smith,550,France,Female,45,3,61318.619480336594,1,1,0,112728.21197130653,0
134,15565835,Smith,597,France,Female,28,5,22383.526519840234,1,1,0,124949.77464957807,0
135,15565836,Smith,500,Spain,Male,58,9,51223.27766323226,1,1,1,90285.83344453294,0
136,15565837,Smith,620,Germany,Female,30,6,15331.211572834232,1,1,0,77947.34241084152,0
137,15565838,Smith,632,Spain,Male,36,10,0.0,2,1,0,84682.88403522628,0
138,15565839,Smith,769,Germany,Female,49,3,125897.85262146797,2,1,1,138891.9437979028,0
139,15565840,Smith,548,France,Female,25,10,10197.565358803586,2,0,1,85107.78565382681,0
140,15565841,Smith,698,France,Male,42,10,66065.95561960082,2,0,0,85535.66046942079,0
141,15565842,Smith,658,Spain,Male,55,2,112644.55407468925,2,1,0,41790.461855965186,1
142,15565843,Smith,460,Germany,Female,20,0,44252.79487419785,2,1,1,157948.33653974155,0
143,15565844,Smith,577,Spain,Male,42,6,33741.705012723105,3,1,1,122813.81927222504,0
144,15565845,Smith,573,France,Female,43,0,86311.90443337108,1,1,0,152504.5031403732,0
145,15565846,Smith,818,Spain,Female,49,7,130896.69113635761,2,1,1,84127.820714034,0
146,15565847,Smith,704,Germany,Female,25,4,16534.236745676557,1,1,1,162130.6132174296,0
147,15565848,Smith,664,France,Female,24,7,67492.60839912805,1,1,0,34056.03823430372,0
148,15565849,Smith,300,France,Female,46,1,0.0,2,1,0,43488.074026337985,1
149,15565850,Smith,459,Spain,Female,43,2,55339.949815890504,1,0,0,84974.78385110025,0
150,15565851,Smith,722,France,Female,43,3,76710.23422690378,2,0,1,84957.63728938004,0
151,15565852,Smith,728,France,Male,44,1,32268.767912246716,2,0,0,130695.59052078567,0
152,15565853,Smith,575,France,Male,31,3,52150.40830873843,2,1,0,123122.32366411592,0
153,15565854,Smith,652,France,Male,42,5,4588.661584627494,2,1,1,21147.45266667925,0
154,15565855,Smith,645,France,Male,43,10,78853.93056907468,1,1,0,95891.03531978156,0
155,15565856,Smith,666,France,Female,31,6,127784.71244415749,1,1,1,160660.48726195903,0
156,15565857,Smith,612,France,Female,62,5,20142.806511476818,3,1,0,93417.19844218157,1
157,15565858,Smith,731,Germany,Female,45,6,43866.411672380855,1,1,1,50934.19361558134,0
158,15565859,Smith,760,France,Female,25,1,100127.31232270908,2,0,0,51022.830690224044,0
159,15565860,Smith,554,Spain,Male,47,0,135604.5359661368,1,1,0,91911.87207760895,0
160,15565861,Smith,530,Germany,Male,28,8,340.50938955343736,1,0,1,125539.73651079818,0
161,15565862,Smith,570,France,Female,49,6,66560.76312920253,1,1,1,199038.22527117224,0
162,15565863,Smith,654,France,Male,53,10,89156.54111597626,2,1,1,51323.02353036283,0
163,15565864,Smith,685,Spain,Female,30,1,69897.1804685576,1,0,1,77620.20585228426,0
164,15565865,Smith,728,France,Male,51,6,0.0,1,0,1,171719.70454978425,0
165,15565866,Smith,747,France,Female,44,3,100054.5004654386,1,1,1,103129.17913572051,0
166,15565867,Smith,686,Germany,Male,49,2,150966.8175545322,1,0,1,200000.0,0
167,15565868,Smith,672,France,Female,62,3,80833.08755847518,1,0,1,100312.49712829683,0
168,15565869,Smith,814,Spain,Female,37,4,23444.697335286837,1,1,1,139246.98159606179,0
169,15565870,Smith,650,Germany,Male,30,8,49343.63768178585,2,0,1,62985.92554952267,0
170,15565871,Smith,709,France,Male,29,3,163495.65338277965,1,1,0,10000.0,0
171,15565872,Smith,682,France,Female,30,8,120498.12704302793,1,1,0,100352.13964673193,0
172,15565873,Smith,632,Spain,Male,39,3,107001.33091921646,4,1,0,47559.09024227609,1
173,15565874,Smith,633,Germany,Male,44,0,92820.6291767188,1,1,1,41945.694689160606,0
174,15565875,Smith,782,France,Male,43,10,41943.14439045138,3,0,1,122395.94886664164,0
175,15565876,Smith,640,France,Female,49,10,64971.44096721157,1,1,1,96299.60810542204,0
176,15565877,Smith,614,France,Male,40,10,71103.86321607421,1,0,0,110711.53108690352,0
177,15565878,Smith,576,France,Female,57,0,102478.7158032222,1,0,0,17808.849332304526,1
178,15565879,Smith,692,France,Male,36,3,150445.94471334518,2,1,1,75106.68112189349,0
179,15565880,Smith,598,France,Male,72,3,130916.9068396564,2,1,1,174322.6753062102,1
180,15565881,Smith,683,Spain,Male,47,9,4030.782210197969,1,1,0,39487.06111399547,0
181,15565882,Smith,667,Germany,Female,29,6,86199.74844505244,2,0,1,51825.14770280721,0
182,15565883,Smith,607,Germany,Male,27,0,111838.16725839485,1,1,0,149035.74995921768,0
183,15565884,Smith,510,Germany,Male,45,4,105943.01650723178,1,1,0,110267.67287520328,0
184,15565885,Smith,547,France,Male,37,9,43538.31183062903,2,1,1,101685.4400861918,0
185,15565886,Smith,562,France,Female,48,7,220705.46078841807,2,1,1,112494.49203942525,0
186,15565887,Smith,549,Spain,Female,45,7,11145.771883444053,1,1,1,49133.14698236211,0
187,15565888,Smith,695,Spain,Male,39,6,20840.5776666975,1,1,0,37249.48145741909,0
188,15565889,Smith,850,Spain,Male,29,3,86679.75406307881,2,1,0,23171.295097703827,0
189,15565890,Smith,598,France,Male,21,6,180840.15274819266,4,1,0,172593.78831791686,0
190,15565891,Smith,611,France,Female,34,0,33190.25746479146,1,1,0,21665.92125739134,0
191,15565892,Smith,591,France,Female,50,5,61708.581717650384,3,0,1,102876.54745216345,0
192,15565893,Smith,735,France,Male,42,6,128864.68365078463,1,0,0,72961.67194847697,0
193,15565894,Smith,692,France,Male,25,2,74106.89225561332,3,1,0,156055.33856953587,0
194,15565895,Smith,648,Germany,Male,42,7,58269.80727348522,2,0,0,100740.41440520316,1
195,15565896,Smith,528,France,Female,44,7,103281.64509433601,3,0,1,35649.11001188606,0
196,15565897,Smith,553,Germany,Female,29,7,88625.89951147966,2,0,1,113694.80457568112,0
197,15565898,Smith,667,Germany,Female,41,10,126521.93928183957,1,0,1,115192.04128572924,0
198,15565899,Smith,672,Germany,Male,40,4,139573.44445326817,1,1,0,58422.37041898935,0
199,15565900,Smith,648,Germany,Female,26,6,90350.15300026808,2,0,0,84597.24805946331,0
200,15565901,Smith,716,France,Male,44,4,89586.63626891545,1,0,0,146733.6410547452,0
201,15565902,Smith,527,Spain,Female,46,7,85705.54911430668,1,1,0,166605.2321234417,0
202,15565903,Smith,680,Germany,Female,52,8,99456.52783246437,4,1,0,101927.62514764754,1
203,15565904,Smith,674,France,Female,52,10,77758.53189357319,1,1,0,165979.2796987219,1
204,15565905,Smith,554,Spain,Male,23,3,74969.57588388553,1,1,1,116258.2110567061,0
205,15565906,Smith,589,France,Female,28,3,134831.3560413621,1,0,1,82162.07677325554,0
206,15565907,Smith,719,France,Female,46,10,150805.80901775215,2,0,0,108682.3683656729,0
207,15565908,Smith,536,Germany,Male,46,6,0.0,1,1,1,58954.035148641255,0
208,15565909,Smith,850,Spain,Female,46,6,75501.05758702845,1,0,0,74476.1218811818,0
209,15565910,Smith,705,France,Female,86,10,40565.27832773826,3,1,1,145270.89548147575,1
210,15565911,Smith,644,Germany,Male,46,7,59451.426675696384,2,1,1,10000.0,0
211,15565912,Smith,624,France,Male,53,6,95125.81048676607,2,1,1,79137.90455823662,0
212,15565913,Smith,728,Germany,Male,51,6,108471.91857712342,2,1,0,102430.44873889469,1
213,15565914,Smith,608,Germany,Male,47,5,69393.67781943275,1,1,0,142098.23221939808,1
214,15565915,Smith,612,Germany,Male,36,5,0.0,2,1,0,86885.91599228639,0
215,15565916,Smith,795,Spain,Female,49,9,26747.720971191018,1,1,0,138166.68248011678,1
216,15565917,Smith,602,Spain,Female,30,2,119824.9835100083,1,0,1,108501.04767130851,0
217,15565918,Smith,663,Spain,Male,37,3,0.0,1,1,1,34428.57013170491,0
218,15565919,Smith,573,France,Male,34,9,134371.35758409998,1,1,1,74564.92405006994,0
219,15565920,Smith,675,France,Male,40,3,101061.49953222707,1,1,1,96132.75792036977,0
220,15565921,Smith,708,France,Female,67,8,140808.8040765011,1,1,1,113494.88385188748,0
221,15565922,Smith,818,Spain,Male,18,5,65071.540655951976,2,1,0,78944.52973885059,0
222,15565923,Smith,556,Spain,Female,48,9,0.0,1,0,0,65025.60324928426,1
223,15565924,Smith,505,Spain,Male,20,2,96518.1320753249,2,1,1,128647.31547596314,0
224,15565925,Smith,623,Spain,Male,34,10,138732.65620191707,2,1,0,85620.6145434182,0
225,15565926,Smith,588,Germany,Female,53,3,121236.09027567104,3,1,0,115561.99541645357,1
226,15565927,Smith,648,Spain,Male,40,5,41865.42582559823,1,1,0,127230.19305475325,0
227,15565928,Smith,702,France,Male,27,5,79338.05377313234,2,1,1,170257.62206878967,0
228,15565929,Smith,850,France,Female,31,4,48358.1865610038,2,1,1,121194.91070303597,0
229,15565930,Smith,604,France,Male,48,0,34036.6767905314,4,0,0,129817.08279146241,1
230,15565931,Smith,428,Spain,Female,31,10,122769.42855899254,1,1,1,120909.1832519011,0
231,15565932,Smith,626,France,Male,42,9,15123.384436741893,1,1,1,104286.0282299518,0
232,15565933,Smith,685,Germany,Female,40,5,30309.178470919367,1,1,1,41322.50133325227,0
233,15565934,Smith,553,France,Female,32,3,19798.718326380724,1,0,1,79624.69237479637,0
234,15565935,Smith,673,France,Male,65,7,487.6238350476633,2,0,1,37469.00827593068,0
235,15565936,Smith,663,Germany,Female,47,9,82320.71459213017,2,1,1,56378.59526056494,0
236,15565937,Smith,675,France,Male,18,0,133075.1524240988,1,1,0,76697.22544694314,0
237,15565938,Smith,729,Spain,Female,42,4,65756.16218773671,1,1,0,134711.4660608089,0
238,15565939,Smith,641,Germany,Male,32,3,0.0,1,0,0,80726.44412132671,0
239,15565940,Smith,704,Spain,Female,50,4,116997.22698710137,1,1,0,57695.2592665013,0
240,15565941,Smith,470,Spain,Female,30,8,159285.0877017486,3,0,0,78407.57749198796,0
241,15565942,Smith,553,Germany,Female,38,6,42687.88379267027,3,0,0,164733.6075230241,1
242,15565943,Smith,615,France,Female,46,2,51072.286664114086,1,1,0,36962.06144398444,1
243,15565944,Smith,549,Spain,Male,50,2,100783.03150416972,1,1,0,124646.1900476458,0
244,15565945,Smith,650,France,Male,25,6,156093.68738925256,3,1,0,127685.53292931136,0
245,15565946,Smith,615,France,Male,35,0,49008.292713738694,1,0,1,147092.13640064027,0
246,15565947,Smith,604,France,Male,34,7,8377.510950089752,2,1,1,61722.07894197455,0
247,15565948,Smith,738,Spain,Male,32,2,106570.93031362032,3,0,1,52902.00554104315,0
248,15565949,Smith,658,Germany,Female,61,7,114953.40365711498,2,1,0,50739.65507034902,1
249,15565950,Smith,541,Germany,Female,44,7,75306.57252176134,1,1,0,123523.71155041562,1
250,15565951,Smith,589,France,Female,24,1,47093.33701712747,1,1,0,101681.03674942348,0
251,15565952,Smith,725,France,Female,51,2,124718.93654960231,3,1,0,48171.54218823523,1
252,15565953,Smith,669,Spain,Female,65,9,101401.80022739821,1,1,1,44757.919497479226,0
253,15565954,Smith,769,Germany,Male,52,0,36578.22415482536,1,1,0,65623.53045941748,1
254,15565955,Smith,734,France,Female,21,5,77454.73656528357,2,1,1,72715.08232742337,0
255,15565956,Smith,611,France,Female,34,2,7414.623398767668,2,1,1,62765.52130238174,0
256,15565957,Smith,793,Spain,Female,55,8,109294.52282189601,1,1,0,97813.27485353006,1
257,15565958,Smith,801,France,Male,31,0,61888.3215308572,1,1,1,94629.70365669957,0
258,15565959,Smith,471,Spain,Male,45,7,53214.45838076314,2,0,0,33829.63283616112,0
259,15565960,Smith,653,Spain,Male,49,6,73356.27574237829,1,1,0,71829.4358489275,1
260,15565961,Smith,595,France,Male,28,6,77015.38496651239,1,1,1,146890.64755908804,0
261,15565962,Smith,623,France,Female,39,10,119746.50307827804,2,0,1,118982.95507774773,0
262,15565963,Smith,568,Germany,Female,18,7,104554.52656626108,1,0,1,59846.59519554336,0
263,15565964,Smith,555,France,Female,27,8,67179.53606035987,1,1,1,131814.2858380571,0
264,15565965,Smith,740,France,Male,36,7,113183.40748594976,1,1,0,155185.00083502592,0
265,15565966,Smith,533,Spain,Male,25,5,95036.86268458066,1,1,0,93090.90441609283,0
266,15565967,Smith,659,Spain,Male,59,0,53670.01818569815,2,1,0,164423.08571126123,1
267,15565968,Smith,515,Spain,Female,22,0,68764.0920881757,2,0,0,142459.0542047934,0
268,15565969,Smith,776,Spain,Female,34,10,67588.85555784396,2,1,0,128307.89369514714,0
269,15565970,Smith,653,Germany,Male,41,6,100263.06715871008,2,1,1,70527.47339859145,0
270,15565971,Smith,724,France,Male,57,10,56648.869263917906,2,0,1,14816.903421425552,0
271,15565972,Smith,669,Spain,Female,22,2,55479.54067891833,1,0,1,36777.75175032102,0
272,15565973,Smith,624,Spain,Male,53,2,173437.86547169794,1,1,1,26439.481903036198,0
273,15565974,Smith,656,France,Male,40,10,121986.77408735521,2,0,0,138256.34949382284,0
274,15565975,Smith,800,France,Male,28,8,36969.966778743044,1,1,1,82431.06858800005,0
275,15565976,Smith,560,Germany,Female,45,9,103547.04969710992,1,1,0,90401.01307389917,0
276,15565977,Smith,395,France,Female,42,3,80917.50328275886,1,1,0,179608.00070182534,0
277,15565978,Smith,571,Germany,Male,32,2,94577.5587630047,2,1,1,25045.080726431595,0
278,15565979,Smith,529,Spain,Male,40,1,81867.06622825522,1,1,0,124792.71187140586,0
279,15565980,Smith,746,Germany,Male,35,4,134482.1322742618,2,1,1,85185.09572686176,0
280,15565981,Smith,632,Germany,Male,41,8,92281.0172325723,1,1,1,10000.0,0
281,15565982,Smith,732,Spain,Female,47,7,71895.56508928564,3,1,1,112080.5421159389,0
282,15565983,Smith,653,Spain,Male,59,7,127109.52884915087,1,1,1,44028.6557221774,0
283,15565984,Smith,650,Spain,Male,25,0,86664.2520543936,2,1,1,10000.0,0
284,15565985,Smith,666,Spain,Male,65,8,81073.92896645289,1,0,0,10000.0,1
285,15565986,Smith,798,Spain,Male,18,7,90701.13012430572,1,0,0,56955.9576679028,0
286,15565987,Smith,668,France,Male,38,10,70319.54883168168,3,0,0,68102.70278276836,1
287,15565988,Smith,760,Germany,Female,47,2,75461.34964977344,1,1,0,89218.36423490316,1
288,15565989,Smith,754,France,Female,43,7,45665.27056190636,1,0,1,10000.0,0
289,15565990,Smith,633,Spain,Male,32,8,37441.63901880606,2,0,0,65238.51151817741,0
290,15565991,Smith,642,France,Male,37,1,25071.480675878025,1,0,1,120833.57216471869,0
291,15565992,Smith,612,Spain,Male,34,0,5400.8356601462,2,1,1,113947.13633930974,0
292,15565993,Smith,778,Germany,Female,32,0,31014.13193077218,1,1,0,39943.30636043671,0
293,15565994,Smith,555,Germany,Female,50,0,66286.64827665372,1,1,0,169747.6348783275,1
294,15565995,Smith,577,Spain,Male,44,4,80155.87912228185,2,1,0,23981.342764288464,0
295,15565996,Smith,622,Spain,Male,31,1,61435.17184261797,2,0,0,10482.352627020082,0
296,15565997,Smith,535,France,Male,50,3,0.0,1,1,1,104453.62719734684,0
297,15565998,Smith,590,France,Male,43,0,153729.3178881171,2,0,0,52558.10619376487,0
298,15565999,Smith,763,France,Male,49,1,129324.00614451908,2,0,1,127389.2860672085,0
299,15566000,Smith,715,France,Male,47,6,97287.99256085644,2,1,0,48738.99858197228,1
300,15566001,Smith,607,Germany,Male,30,8,170374.5336276634,1,0,1,125083.61056602336,0
301,15566002,Smith,730,France,Male,33,5,26131.794125814464,1,1,1,173695.23746692901,0
302,15566003,Smith,850,Spain,Female,48,9,169381.25603130023,1,0,0,141107.01136393854,0
